K2_ID,K2_campaign,GALAH_ID,GAIADR3_ID,numax,numax_err,Dnu,Dnu_err,L,L_err,Fe_H,Fe_H_err,alpha_Fe,alpha_Fe_err,Rg,Rg_16,Rg_84,Zmax,Zmax_16,Zmax_84,e,e_16,e_84,Lz,Lz_16,Lz_84,E,E_16,E_84,vR,vR_16,vR_84,vT,vT_16,vT_84,vZ,vZ_16,vZ_84,age_Dnu,age_16_Dnu,age_84_Dnu,mass_Dnu,mass_16_Dnu,mass_84_Dnu,rad_Dnu,rad_16_Dnu,rad_84_Dnu,dist_Dnu,dist_16_Dnu,dist_84_Dnu,age_L,age_16_L,age_84_L,mass_L,mass_16_L,mass_84_L,rad_L,rad_16_L,rad_84_L,dist_L,dist_16_L,dist_84_L,warn_low_numax,warn_high_Dnu,warn_high_RUWE,warn_NSS,warn_GALAH,drop_K2_dup,warn_plax_err,warn_dustmaps,warn_nve_Av_Dnu,warn_nve_Av_L,warn_massdiff,RelDat_Dnu,RelDat_L,RelAge_Dnu,RelAge_L
249236340.0,15.0,170603005101340,1636148068921376768,101.547,0.877326,9.21677,0.0557654,,,-0.19742823,0.0546551629024632,0.0513002319780992,0.0196235206302815,8.160303453213295,8.153834731210708,8.166604690750937,0.34512539911555,0.3399227420100803,0.3504181616841861,0.1372637075464808,0.1361947222034188,0.1383969927516355,1791.633036045782,1790.359395813133,1792.8734740596706,-40409.6392301497,-40437.80591564928,-40378.577342587785,-30.350893911928285,-30.56683358262111,-30.144033364506488,239.0538225091489,238.86376977886715,239.26406833152527,5.74340187501114,5.591388266858982,5.913299074129975,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,False,False,,False,True,False,,,False,False,False,False
210963423.0,4.0,151111003601196,1636148068921376768,41.0109,1.05729,4.40382,0.0737065,52.61642477086502,6.419225513898915,-0.14198732,0.0822980623582474,0.1512031263449897,0.0436550011144394,8.099363496299965,8.084240728342733,8.114054111530896,0.4347865547064634,0.4283911937567909,0.4410966025766147,0.1564089632191495,0.1541835601389433,0.1586431000915681,1779.6250512228344,1776.6418882641694,1782.5217111188906,-40362.83564518203,-40405.3724783847,-40319.34108837776,36.82766040382048,36.62941219317068,37.02682578429075,198.1171421090158,197.46844639628364,198.76559126312347,-5.146682710009217,-5.31904420240511,-4.981102939199241,3.241664,2.888278,3.639285,1.408166,1.356107,1.464889,10.883927,10.758979,11.023797,1080.400391,1069.003906,1093.691406,3.730294,2.955342,4.752873,1.344791,1.244029,1.448304,10.825023,10.687364,10.973717,1076.015625,1063.242188,1090.595703,False,False,True,False,True,,False,False,False,False,False,False,False,False,False
249882145.0,15.0,170508004801368,1636148068921376768,29.7395,0.863768,4.1345800000000015,0.207623,48.86905176846059,5.457407890927271,-0.36751127,0.0720943244793937,0.130211088317504,0.0327358252345609,7.640679301822148,7.611154638392346,7.667840339341365,1.0957086110350087,1.071325622517496,1.121302010625187,0.1829029754359199,0.18179608937134,0.1840229939224167,1688.5274537435578,1682.6175612588102,1693.9590506363916,-41652.05501947731,-41764.85421475738,-41549.896106794586,30.087482919209364,29.869118898985544,30.317348998691507,251.1046276291061,250.7753509360394,251.44502076473165,-15.846353868384965,-15.986550639966044,-15.708771020990934,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,False,False,False,False,False,True,True,True,True
206237975.0,3.0,150901003001242,1636148068921376768,35.1239,2.00291,4.35361,0.10404,21.53620196190261,2.896629684136802,-0.20480728,0.1243346637639709,,,,,,,,,,,,,,,,,,,,,,,,,,,16.242051999999997,12.456746,18.719656,0.907068,0.870424,0.979159,9.364153,9.160528,9.660436,1663.671875,1634.53125,1697.753906,17.4861,15.066847,19.069539,0.885515,0.86356,0.923726,8.77182,8.470816,9.077576,1575.800781,1543.183594,1609.160156,False,False,False,False,True,,False,False,,False,False,False,False,False,False
211933640.0,5.0,160331002201152,1636148068921376768,63.2292,1.1249,6.49388,0.0537268,22.246410141077916,2.4722521451306005,-0.6230068,0.0595878629643839,0.2722525965368964,0.0226200308933846,3.044962834372028,2.9307094552543624,3.1542971705874465,1.0094407918216428,0.9785243430082552,1.042786814854607,0.6669011744550282,0.6543023621211019,0.6799016690533468,648.3357745264059,618.4457867628321,676.7985910854741,-56570.56440595631,-56621.96180216751,-56511.30451466148,-25.17465919594176,-25.97437043290433,-24.37969931375832,71.42741444289379,67.935432403445,74.76388023055743,-12.20255137929798,-13.298498973521363,-11.190225027726008,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
249558079.0,15.0,170603003601078,1636148068921376768,32.6864,0.612955,3.99615,0.0833136999999999,47.71068341236802,5.268308224745668,0.016379356,0.0576364570136254,0.1405304730758783,0.0272414558958181,6.082018111489155,6.038092424824783,6.126864390040563,0.832844509172572,0.8153868430098796,0.8508624388087711,0.1442542221400873,0.1403937210663168,0.1480312953708926,1366.829776419956,1357.4205747546278,1376.4133438901672,-52133.056869027554,-52359.42224187307,-51899.21229810567,4.611639300672956,4.263652670014159,5.031012709269186,186.5449259434204,185.57226228966536,187.53971506034736,-40.65215351751527,-41.341659899050256,-39.99652859575691,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,True,,False,False,False,False,False,False,False,False,False
213859399.0,7.0,160531004601334,1636148068921376768,184.96400000000003,1.25035,14.1827,0.0754356,12.79023886130827,1.2834580525654746,-0.29309797,0.0574370613739157,0.045806351322772,0.0230768651966882,8.72366349283814,8.718987227473383,8.7285124791034,1.0882864237438032,1.070639304338709,1.1054598636289723,0.2151359575845948,0.212746136834396,0.2175354116365425,1901.7074633028983,1900.8002376906495,1902.64809070918,-35801.589707294974,-35878.485038368344,-35720.94346349363,13.783462312668258,13.710707952605318,13.85220585552586,260.6895851595246,260.21270273565807,261.1570712701796,43.47740378362821,43.06144024923099,43.87897719710652,3.313999,2.947066,3.728181,1.320453,1.277772,1.364004,4.862689,4.796945,4.929437,756.5429690000001,746.416016,767.0117190000001,3.810653,3.287781,4.440115,1.265015,1.211212,1.319053,4.727322,4.605295,4.853664,733.251953,720.625,746.464844,False,False,False,False,False,,False,False,False,False,False,True,True,True,True
220281055.0,8.0,151109001601360,1636148068921376768,44.1805,0.8352620000000001,5.17161,0.0902068999999999,39.53202012940793,6.251239461144668,-1.2185221000000002,0.114502159334778,0.1818312578219536,0.0481198525437348,3.5920573771009074,3.231286768158618,3.967383283120337,3.3666310231826904,3.334246924353636,3.4133324110994208,0.5439473439035233,0.5122507016499415,0.5742568038041803,-789.0501326996055,-882.7583382008162,-696.7481945996475,-51081.359068766615,-52364.75017716574,-49680.04158377906,64.68309856891209,62.296554100128574,66.91479256604266,-88.57966160636799,-98.68955489134386,-78.52929573224145,12.64097706217724,9.301184868115016,15.871937875736547,7.621341999999999,5.426121,10.185699,0.939693,0.856215,1.033154,8.405932,8.068706,8.766785,3187.96875,3089.492188,3290.9375,10.295617,6.617268,15.746312,0.851983,0.730628,0.97732,8.163365,7.24826,8.908416,3132.890625,2981.40625,3289.921875,False,False,False,False,False,,False,False,False,False,False,True,True,True,True
211563796.0,5.0,170102001701212,1636148068921376768,27.4918,0.544033,3.40996,0.107343,75.52489655203107,8.840224870167871,-0.21119499,0.1331286925402306,0.0821156864739371,0.074601012497092,9.917731920999618,9.77646628185105,10.072903538258238,1.2033680298058744,1.1150850355019302,1.3077185469329682,0.1008379522965046,0.0965585835712437,0.1058278640660487,2130.432665746129,2103.6452764793275,2159.78391368404,-31976.072380292346,-32646.335386092305,-31248.483935446344,23.27468981056363,22.842418978145645,23.761069826109534,224.73341135907285,224.03498798518015,225.5050770422192,-4.039929358936538,-6.116766468132283,-2.22620850643213,4.572828,2.875324,7.595362,1.185726,1.00031,1.386258,12.092765,11.154551,13.000892,2004.375,1870.9375,2187.460938,4.152895,3.316511,5.321992,1.237015,1.148054,1.326604,13.134465,11.836436,14.121451,2226.894531,2145.429688,2307.773438,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
212579686.0,6.0,150430002301054,1636148068921376768,35.8407,0.674545,3.93461,0.1017049999999999,49.64026871640844,5.676564039747921,0.19893885,0.0600920090743458,0.1327034908453087,0.0236950310235426,7.40238670506554,7.386513782172901,7.418869592732854,0.9011754976973518,0.8857552108996166,0.9175489164031352,0.0940447933586977,0.0934169918741301,0.094680319280102,1640.6564883639485,1637.4533998261338,1643.980718656363,-44117.14365299322,-44172.58771030254,-44056.582610637925,-29.87476553745277,-30.10105629554383,-29.644675056387516,214.2040942223576,214.02452785363585,214.4062183622975,23.51975228114052,23.4370374314723,23.605363017394804,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
