KIC_ID,APOGEE_ID,ASPCAP_ID,GAIADR3_ID,numax,numax_err,Dnu,Dnu_err,EvoState,L,L_err,Fe_H,Fe_H_err,alpha_M,alpha_M_err,Rg,Rg_16,Rg_84,Zmax,Zmax_16,Zmax_84,e,e_16,e_84,Lz,Lz_16,Lz_84,E,E_16,E_84,vR,vR_16,vR_84,vT,vT_16,vT_84,vZ,vZ_16,vZ_84,age_Dnu,age_16_Dnu,age_84_Dnu,mass_Dnu,mass_16_Dnu,mass_84_Dnu,rad_Dnu,rad_16_Dnu,rad_84_Dnu,dist_Dnu,dist_16_Dnu,dist_84_Dnu,age_L,age_16_L,age_84_L,mass_L,mass_16_L,mass_84_L,rad_L,rad_16_L,rad_84_L,dist_L,dist_16_L,dist_84_L,warn_low_numax,warn_high_Dnu,warn_high_RUWE,warn_NSS,warn_APOGEE,warn_plax_err,warn_dustmaps,warn_nve_Av_Dnu,warn_nve_Av_L,warn_massdiff,RelDat_Dnu,RelDat_L,RelAge_Dnu,RelAge_L
5636540,2M19451396+4048101,apogee.apo25m.synspec_fix.K19_076+07.2M19451396+4048101,1636148068921376768,43.17,0.67,4.339,0.012,2,,,0.0077995993,0.008668597,0.008845001,0.005981212,,,,,,,,,,,,,,,,,,,,,,,,,1.538679,1.224254,1.811103,1.865268,1.740845,1.944856,12.178537,11.908542,12.371595,1574.453125,1519.121094,1622.714844,,,,,,,,,,,,,False,False,,False,False,False,True,False,,,False,False,False,False
6441499,2M19252167+4149036,apogee.apo25m.synspec_fix.K16_075+11.2M19252167+4149036,1636148068921376768,29.63,1.74,3.531,0.05,2,,,-0.11726,0.0101859765,0.0301823,0.007195994,,,,,,,,,,,,,,,,,,,,,,,,,5.87216,4.235126,9.142467,1.131865,0.97617,1.269646,11.793288,11.212622,12.290227,1247.646484,1147.021484,1343.828125,,,,,,,,,,,,,False,False,,False,False,False,True,False,,,False,False,False,False
8009525,2M18525042+4349422,apogee.apo25m.synspec_fix.K08_073+19.2M18525042+4349422,1636148068921376768,205.38,1.08,16.167,0.044,1,,,-0.2536,0.0099679455,0.0673,0.009224528,,,,,,,,,,,,,,,,,,,,,,,,,6.745436,6.216797,7.345835,1.070726,1.047013,1.094527,4.159621,4.124411,4.194628,1192.451172,1166.201172,1219.169922,,,,,,,,,,,,,False,False,,False,False,False,True,False,,,False,False,False,False
9789635,2M19540852+4635228,apogee.apo25m.synspec_fix.K09_081+11.2M19540852+4635228,1636148068921376768,212.73,1.72,16.230999999999998,0.037,1,,,0.14677,0.01109627,0.007929001,0.0076778169999999,,,,,,,,,,,,,,,,,,,,,,,,,7.843558,7.012023,8.823222,1.105908,1.072874,1.139995,4.190888,4.14385,4.23593,1063.271484,1035.126953,1091.71875,,,,,,,,,,,,,False,False,,False,False,False,True,False,,,False,False,False,False
10198947,2M19114315+4712453,apogee.apo25m.synspec_fix.K06_078+16.2M19114315+4712453,1636148068921376768,233.72,4.76,18.109,0.087,1,,,-0.1344,0.0071133417,0.11659,0.0057727327,,,,,,,,,,,,,,,,,,,,,,,,,12.335668,9.860098,15.300101,0.940354,0.884738,1.002355,3.69293,3.614431,3.776969,1604.316406,1531.308594,1681.386719,,,,,,,,,,,,,False,False,,False,False,False,True,False,,,False,False,False,False
11122261,2M18510530+4842191,apogee.apo25m.synspec_fix.K03_077+20.2M18510530+4842191,1636148068921376768,201.18,1.28,16.13,0.046,1,,,-0.28181,0.009199245,0.088615,0.008336504,,,,,,,,,,,,,,,,,,,,,,,,,8.646893,7.836483,9.542181,1.000601,0.974969,1.026458,4.070997,4.031212,4.112277,1110.263672,1083.222656,1137.919922,,,,,,,,,,,,,False,False,,False,False,False,True,False,,,False,False,False,False
11656670,2M19153496+4943299,apogee.apo25m.synspec_fix.K01_082+17.2M19153496+4943299,1636148068921376768,15.68,0.69,2.025,0.015,0,,,-0.24792,0.007670977,0.048912,0.0060268673,,,,,,,,,,,,,,,,,,,,,,,,,1.333536,0.975297,1.68274,1.823548,1.663389,2.015622,19.896803,19.230761,20.630743,1909.550781,1783.847656,2045.429688,,,,,,,,,,,,,True,False,,False,False,False,True,False,,,False,False,False,False
893214,2M19245967+3638183,apogee.apo25m.synspec_fix.N6791.2M19245967+3638183,1636148068921376768,41.39,0.54,4.311,0.013,1,63.045495761749386,3.2406704768753927,-0.25728,0.0076724077,0.081464,0.006119906,7.798420073176638,7.7727585440639695,7.827827061438999,0.9409672767038988,0.8720667877996606,1.009894183906057,0.3506592878374187,0.3374471479400225,0.3631075966858607,1720.0043352582547,1714.894633939875,1725.8546817767617,-37102.8578991888,-37724.180852080586,-36477.3584489929,-103.13616200840332,-106.59974111086451,-99.37997318302382,229.07620915442823,228.1334363625261,230.04883982065445,-31.960638911499384,-33.57850976527139,-30.2989943024086,2.441299,2.042816,2.906966,1.471183,1.399493,1.548506,11.04148,10.84339,11.246309,2230.761719,2146.503906,2318.984375,1.562826,1.333606,1.871809,1.670436,1.581827,1.752677,11.213721,10.831895,11.619794,2268.554688,2150.957031,2393.847656,False,False,False,False,False,False,False,False,False,False,True,True,True,True
1026180,2M19241923+3645378,apogee.apo25m.synspec_fix.K21_071+10.2M19241923+3645378,1636148068921376768,36.91,0.71,3.991,0.064,2,51.907840354390345,1.9463808368404647,0.26274,0.0068038553,0.021473901,0.0040742294,7.254737078768393,7.243343152389562,7.26587577320361,0.3041467872257901,0.2957607798027591,0.3130916064816809,0.1606070803173801,0.1575395374000067,0.1639143361939352,1610.789031336983,1608.4773438418242,1613.047970803925,-45217.45470759655,-45228.15056681231,-45203.37330017991,-46.26047540116207,-47.27217367040155,-45.33583540288523,211.3021634618004,211.19036127429837,211.4136975822153,-6.491790090215537,-6.828897203250629,-6.179239148660663,4.476465,3.352985,4.940592,1.310986,1.268161,1.448523,11.202516,11.07148,11.723408,1399.277344,1361.757812,1432.929688,3.923992,3.46478,4.460549,1.365355,1.309186,1.424132,11.041116,10.938336,11.171198,1387.5,1359.042969,1416.308594,False,False,False,False,False,False,False,False,False,False,True,True,True,True
1026309,2M19242636+3643594,apogee.apo25m.synspec_fix.K21_071+10.2M19242636+3643594,1636148068921376768,16.86,0.76,1.927,0.0289999999999999,0,151.28934994848424,5.909581307477763,0.14388,0.007180587,-0.029482,0.0043400647,8.295833591292332,8.264574666743428,8.332211396963134,0.3661451681895313,0.3285667446000053,0.4059973456113311,0.1252975246386646,0.1240210331760908,0.1269849028451314,1818.264619098576,1812.131163009308,1825.395884485248,-39824.82558574059,-39928.613337102855,-39685.3030964896,-24.618815272679093,-25.300281384055555,-23.92212155011555,238.67341967357527,238.56113207283843,238.87273776011065,-10.1638326043715,-11.899399842270997,-8.411055845189328,1.223684,0.886926,1.637204,1.980551,1.765838,2.21476,20.9144,19.949593,21.838211,1420.136719,1299.257812,1544.003906,1.227584,1.028342,1.467352,1.959296,1.839104,2.069561,20.005152,19.313745,20.679956,1363.476562,1296.71875,1430.957031,True,False,False,False,False,False,False,False,False,False,False,False,False,False
